publish_date,publish_time_america_phoenix,channel,target_channel,story_type,trend_mechanic,theme,hook_text,story_copy,asset_plan,audio_plan,cta,compliance_notes,status
2026-06-09,09:00,Story,Facebook Page Stories,image story,how-to micro lesson,ash technique,How to ash without drama,Five-card premium photo guide sequence: cover plus four ash steps. 21+ only.,Published API Story sequence: output/social/facebook-planner-month-2026-06-09/how-to-ash-expanded-guide/story-assets/story-01 through story-05,silent image story,Full guide on the Page,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,published:graph-api-story-sequence-2026-06-09; post_ids 884238763973489 1663965351504123 1561567721992140 853484907829465 1328713072697769
2026-06-09,18:30,Story,Facebook Page Stories,interactive story,poll prompt,daily roll call,What are you smoking tonight?,"Mellow, bold, maduro, or rested? 21+ only.",Luxury poll card with four answer chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-10,09:00,Story,Facebook Page Stories,image story,myth correction,wrapper meaning,Wrapper color is not the whole story,"Claro to maduro is a clue, not a verdict. 21+ only.",Wrapper strip visual + color ladder,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-10,18:30,Story,Facebook Page Stories,interactive story,comment prompt,tasting notes,One-word tasting note,Drop one word. No paragraph required. 21+ only.,Notebook visual with one-word chips,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-11,09:00,Story,Facebook Page Stories,image story,quick comparison,cut styles,Your cut changes the draw,"Straight, V, punch: pick for the cigar, not the flex. 21+ only.",Cutter macro + three icon callouts,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-11,18:30,Story,Facebook Page Stories,interactive story,rough-week humor,ritual,Rough week reset,"No drama. Clean tray, check humidor, pick a chair. 21+ only.",Humidor reset sequence with warm text,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-12,09:00,Story,Facebook Page Stories,image story,storage tip,humidor consistency,Humidity: watch the swing,Consistency beats chasing one magic number. 21+ only.,Hygrometer closeup + calm line chart,silent image story or Meta Planner-safe subtle sticker audio only,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-12,18:30,Story,Facebook Page Stories,interactive story,poll prompt,ash habits,Ash habit check,"Tap early, let it ride, or roll gently? 21+ only.",Ashtray visual + three-option sticker area,silent image story or original clean lounge bed for video variant,"Poll, reply, or question sticker in Meta Planner",Adult 21+ only; community prompt; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,planned:needs-meta-planner-story-asset
2026-06-12,20:45,Story,Facebook Page Stories,vertical video story,emotional recreation,Emotional ash reactions,"Same line, five emotions: 'I tapped too early.'","Captioned, original-audio viral format. 21+ only.",HyperFrames 9:16 MP4 with clean lounge bed and caption-first motion,"Use original beat only; exaggerated text-led reactions, no trending-audio dependency",Reply sticker or poll follow-up next morning,Adult 21+ only; original/licensed audio only; no marketplace/pricing/inventory/health claims; no minors; no tobacco-as-coping/therapy claim.,planned:needs-hyperframes-video-and-audio-gate
2026-06-13,09:00,Story,Facebook Page Stories,vertical voiceover slideshow,strength myth correction,strength vs body,Strength is not body,"Strength is not a wrapper-color ladder. Track strength, body, and flavor separately. 21+ only.",Ready 9:16 voiceover slideshow MP4: C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-story-slideshow-voiceover.mp4; preview C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-story-video-preview.jpg; publish manifest C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-facebook-video-publish.json,Voiceover-only AAC audio verified: C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-slideshow-video-verification.json,Use poll/reply sticker where available,Adult 21+ only; education/community framing; no marketplace/pricing/inventory/health claims; no minors; no drug/therapy framing.,published:facebook_page_story=1031978302700805; media_id=948748591553009; url=https://facebook.com/stories/122099405529350335/UzpfSVNDOjEwMzE5NzgzMDkzNjc0NzE=/?view_single=1; voiceover-story-video-audio-verified-2026-06-10
