publish_date,channel,target_channels,content_type,theme,draft_copy,asset,cta,compliance_notes,status
2026-06-09,Page,Facebook Page + Facebook Group,infographic,How to ash a cigar,"How to ash a cigar without making it a performance. Let it build until the ash looks heavy, move over the tray before it releases, roll gently against the tray edge, and reset the rest before continuing. What habit made your ash cleaner? 21+ only.",Visual guide set: C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/how-to-ash-expanded-guide/01-how-to-ash-cover-4x5.jpg plus step cards 02-05 and contact sheet; updated Page asset: C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-09-how-to-ash-a-cigar-fb-page-4x5.jpg,Comment with one ash habit,Adult 21+ only; education only; no marketplace/pricing/inventory/health-claim language,scheduled:facebook_page=1148511071677542_122104372509350335; facebook_group=published:https://www.facebook.com/groups/1702820237822858/posts/1709921623779386/; external_groups_published=tap_n_ash:https://www.facebook.com/groups/707157250579467/posts/1667674117861104/|cigar_connoisseurs:https://www.facebook.com/groups/455005309068497/posts/1679893046579711/|black_cigar_smokers:https://www.facebook.com/groups/942621596899397/posts/1753941479100734/; caption_refreshed_2026-06-09
2026-06-10,Group,Facebook Page + Facebook Group,discussion prompt,Ash habits,"Ash thread: do you tap early, let it ride, or wait until the cigar tells you? Share the cue you watch: ash weight, burn line, tray position, or mess control. 21+ only.",Luxury prompt image: cigar rest and ashtray with short question overlay plus a visual detail card or step image before posting,Share your ash habit,Adult 21+ only; group discussion; no marketplace/pricing/inventory/health-claim language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-11,Page,Facebook Page + Facebook Group,infographic,Wrapper meaning,"Wrapper meaning in plain language: color gives clues, not a verdict. Look at shade, feel, aroma, and how the first inch behaves. Ask what changed because of the wrapper, and what came from the full blend. Which wrapper taught you the most? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-11-wrapper-meaning-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with a wrapper note,Adult 21+ only; education only; avoid absolute strength/quality claims; no marketplace language,scheduled:facebook_page=1148511071677542_122104372623350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-12,Group,Facebook Page + Facebook Group,discussion prompt,Wrapper preferences,"Wrapper question: do you notice color first, aroma first, or the first inch first? Add the visual cue you look for: shade, sheen, texture, or how the wrapper feels before lighting. 21+ only.",Luxury 1:1 prompt image: three unbranded cigars with distinct wrapper tones plus a visual detail card or step image before posting,Comment with what you notice first,Adult 21+ only; subjective palate discussion; no product claims,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-13,Page,Facebook Page + Facebook Group,infographic,Cut styles,"Cut guide: inspect the cap first, cut just enough to open the draw, and stop before the shoulder unravels. Straight cut opens broadly, V cut focuses the draw, and punch cut keeps a smaller opening. Which cut do you trust most? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-13-cut-styles-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with your trusted cut,Adult 21+ only; education only; no marketplace language,scheduled:facebook_page=1148511071677542_122104372695350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-14,Group,Facebook Page + Facebook Group,discussion prompt,Cut and draw,"Technique thread: what small cut or draw habit made cigars more consistent for you? Mention the tool, the cap line, or the moment you stop cutting. 21+ only.","Luxury prompt image: cutter, cap detail, and notebook over leather",Share one technique habit,Adult 21+ only; practical education; no health or sales claims,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-15,Page,Facebook Page + Facebook Group,infographic,Humidor consistency,"Humidor consistency: log the number, the swing, and how the cigars feel. A steady range matters more than chasing one perfect snapshot. Check seal, packs, cedar, and temperature before making big changes. What do you watch most? 21+ only.",Detailed visual guide set required for this topic: keep the scheduled Page image (C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-15-humidor-consistency-fb-page-4x5.jpg) and add 3-5 step/detail cards before reposting or future scheduling.,Comment with what you track,Adult 21+ only; storage education; no product or performance claims,scheduled:facebook_page=1148511071677542_122104372779350335; facebook_group=planned; caption_refreshed_2026-06-09
2026-06-16,Group,Facebook Page + Facebook Group,weekly thread,Humidor check,"Weekly humidor check: what is steady, what is drifting, and what did the week teach you? Add the number, the swing, or the physical cue you trust most. 21+ only.",Luxury 1:1 humidor check card with cedar and brass details,Share your check-in,Adult 21+ only; storage discussion; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
2026-06-17,Page,Facebook Page + Facebook Group,infographic,Strength vs body,"Strength is not a wrapper-color ladder. Nicotine impact comes from the full blend: filler, binder, wrapper, priming, origin, fermentation, aging, size, and pace. This guide uses generated photo-realistic cigar scenes with brand-band cues such as Undercrown Shade, Olmec Maduro, Tabernacle, My Father Blue, Don Pepin, Aging Room Quattro, H99, and Nica Rustica Connecticut. What cigar taught you that color does not tell the whole story? 21+ only.",Ready visual guide set with generated photo-realistic source images and brand-band cue overlays, no product tiles: C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/01-strength-is-the-blend-cover-4x5.jpg plus detail cards 02-06 and contact sheet; feed voiceover slideshow video C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-feed-slideshow-voiceover.mp4; story cards in story-assets; story voiceover slideshow video C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-story-slideshow-voiceover.mp4; verification C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-slideshow-video-verification.json; publish manifest C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-facebook-video-publish.json; HeyGen avatar lesson lead polished video C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-heygen-avatar-lead-polished-720x1280.mp4; HeyGen avatar manifest C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/video-assets/strength-is-the-blend-heygen-avatar-lead-manifest.json; scheduled Page replacement cover refreshed locally at C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/page-assets/2026-06-17-strength-vs-body-fb-page-4x5.jpg; caption file C:/Users/qfash/Documents/New project/output/social/facebook-planner-month-2026-06-09/strength-is-the-blend-guide/facebook-caption-strength-is-the-blend.txt,Comment with what color did not explain,Adult 21+ only; education only; subjective notes; no marketplace/pricing/inventory/giveaway/sample/order-request/health-claim language,scheduled:facebook_page=1148511071677542_122104372833350335; facebook_group=planned; caption_refreshed_2026-06-09; detailed_strength_blend_photoreal_band_guide_ready_2026-06-10; voiceover_slideshow_videos_ready_2026-06-10; heygen_avatar_lesson_lead_ready_2026-06-11; live_page_video=1335402401869657; live_page_video_url=https://www.facebook.com/reel/1335402401869657/; live_page_video_published_2026-06-10
2026-06-18,Group,Facebook Page + Facebook Group,discussion prompt,Flavor words,"Tasting notes thread: choose one word from your last cigar, then add what made you pick it: aroma, texture, finish, or pairing. 21+ only.",Luxury tasting word prompt image over notebook and fountain pen plus a visual detail card or step image before posting,Comment with one word,Adult 21+ only; subjective tasting notes; no marketplace language,planned:needs-group-asset-and-group-post; copy_expanded_2026-06-09
