lead_name,type,priority,geography,public_contact,contact_method,website_or_profile,source_url,fit_for_yuzu,outreach_angle,compliance_notes,score,status
"Valley Cigar Club","club/community","P1","Glendale/Phoenix, AZ","Meetup/Facebook/Instagram official pages","public group channels","https://valleycigarclub.org/","https://valleycigarclub.org/","Local Phoenix-area cigar social club and likely best local community fit.","Club partnership; invite organizer to member/event collaboration.","Use group-facing channel only; do not scrape member list; 21+ language.",94,"ready"
"Ash Hole Cigar Club","club/community","P1","Phoenix, AZ + national/global chapters","Website contact/membership form; public chapter socials","contact form/social","https://ashholecigarclubs.com/","https://ashholecigarclubs.com/find-a-chapter","Phoenix mother chapter plus national chapter network for cigar culture and events.","Chapter partnership or co-hosted smoke night.","Use official contact path; avoid private chapter-member emails; 21+ language.",92,"ready"
"Fat Buddha Cigar Club","club/lounge","P1","Scottsdale, AZ","info@fatbuddhacigarclub.com","email","https://www.fatbuddhacigarclub.com/","https://www.fatbuddhacigarclub.com/","North Scottsdale private cigar club with memberships and private events.","Private-club partnership or member reciprocity intro.","B2B/event outreach; do not ask for member list.",91,"ready"
"Cigar Society at The Pemberton","club/event series","P2","Downtown Phoenix, AZ","info@dtphx.org","email/event page","https://dtphx.org/do/cigar-society","https://dtphx.org/do/cigar-society","Phoenix cigar social series built around boutique cigars, cocktails, bites, and conversation.","Ask whether Cigar Society programming continues and pitch Yuzu co-host.","Past Jan-Mar 2026 listing; verify before sending broad pitch.",78,"verify"
"APN Cigar Club / Above Par Network","business networking club","P1","Mesa/Phoenix Metro, AZ","AboveParNetworking@Gmail.com","email/contact form","https://aboveparnetwork.com/contact/","https://aboveparnetwork.com/event/apn-cigar-club-presented-by-meritum-credit-card-processing/","Arizona networking group with cigar-club event format and adult business audience.","B2B networking partnership; member intro or event sponsorship.","Event listing may be past; frame as partnership inquiry.",87,"ready"
"Prestige Cigar Society","club/event marketer","P2","Chandler, AZ","Published phone/contact via website/Eventbrite","contact form/phone","https://prestigecigarsociety.com/","https://www.eventbrite.com/e/an-evening-of-cigars-spirits-good-company-tickets-1363005298539","Arizona cigar event promoter with society/member positioning.","Ask about collaborative adult 21+ cigar and spirits event.","Website had placeholder-looking content; verify human activity.",72,"verify"
"Robson Ranch Cigar Meetup","resident/community meetup","P2","Eloy, AZ","Website signup/contact via cigarmeetup.us","contact form","https://robson.com/robson-ranch-cigar-meetup-a-new-gathering-for-cigar-enthusiasts/","https://robson.com/robson-ranch-cigar-meetup-a-new-gathering-for-cigar-enthusiasts/","Monthly Arizona cigar meetup with inclusive social positioning.","Local community intro; ask organizer about adult member interest.","Resident/community-specific; avoid consumer-list request.",75,"verify"
"Dragon's Lounge / Mesa Chambers Cigar Club","lounge-hosted club event","P2","Mesa, AZ","Website form/early access list","contact form","https://dragonslounge.com/","https://dragonslounge.com/","East Valley venue promoting Mesa Chambers Cigar Club event on June 5, 2026.","Event collaboration or sponsor follow-up.","More venue/event than independent club; confirm fit.",74,"verify"
"Ambassador Fine Cigars","lounge/retailer","P1","Phoenix/Peoria, AZ","Official contact form / store phone","contact form/phone","https://ambassadorcigars.com/contact/","https://ambassadorcigars.com/events/","Local lounge with tastings, pairings, manufacturer specials, and member-only events.","Lounge event partnership; Yuzu member night or allocation night.","Partnership outreach only; never request customer list.",93,"ready"
"Churchill's Fine Cigars","lounge/retailer","P1","Phoenix/Scottsdale/Glendale, AZ","Website contact form","contact form","https://churchillsaz.com/","https://churchillsaz.com/cigar-bars","Premium AZ lounge network with multiple Valley locations.","Co-hosted adult cigar night or member allocation talk.","B2B/event outreach; use contact form.",90,"ready"
"Magnum's Cigars Wine & Liquor","lounge/retailer","P1","Phoenix, AZ","magnumscigarwine@gmail.com","email","https://www.magnumscigarwineliquor.com/events","https://www.magnumscigarwineliquor.com/events","Speakeasy/bar setting with tastings, cigar pairing nights, and special-event newsletter.","Yuzu tasting night or whiskey/cigar pairing event.","Venue partnership; no free tobacco sample language.",89,"ready"
"Cedar Room Fine Cigars & Lounge","lounge/retailer","P1","Scottsdale, AZ","info@cedarroomcigars.com","email","https://cedarroomcigars.com/about-us/","https://cedarroomcigars.com/about-us/","North Scottsdale lounge with premium selection, patio, and rare/limited inventory angle.","Newsletter co-promo or limited-release member night.","Use published business email; ask about opt-in audience only.",88,"ready"
"Oggie's Cigars","lounge/retailer","P1","Scottsdale, AZ","Contact form / (480) 948-9950","contact form/phone","https://oggiescigars.com/","https://oggiescigars.com/","Neighborhood lounge with lockers and specials/events email signup.","Local lounge partnership or member meet-up.","Partnership-focused; do not request subscriber list.",84,"ready"
"Castro's Cigar Bar","lounge/bar","P1","Phoenix/Scottsdale/Tempe, AZ","Website contact form; Phoenix (480) 687-2850; Scottsdale (480) 597-4650; Tempe (480) 275-8777","contact form/phone","https://castroscigarbar.com/contact/","https://castroscigarbar.com/contact/","Multi-location cigar bar explicitly invites event and collaboration inquiries.","Co-hosted lounge event or collab conversation.","Use form; partnership/event angle is strongest.",91,"ready"
"Puro Cigar Bar","lounge/bar","P1","Chandler, AZ","Website contact form / (480) 899-3355","contact form/phone","https://purocigarbar.com/contact-us/","https://www.eventbrite.com/o/puro-cigar-bar-102845446731","Active East Valley cigar bar with Eventbrite organizer activity and tastings/social events.","Yuzu East Valley tasting or member meetup.","Venue partnership; confirm dates and 21+ controls.",88,"ready"
"Cigar King","retailer/lounge","P2","Scottsdale, AZ","Official contact form / phone","contact form/phone","https://www.cigarking.com/contact-us/","https://www.cigarking.com/contact-us/","Retail-heavy Scottsdale shop with newsletter/deals and event references.","Box/drop collaboration or local member offer.","Retail partnership; do not frame as competitor email blast.",79,"ready"
"Fumar Cigars","lounge/event services","P1","Phoenix, AZ","Website contact / phone","contact form/phone","https://fumarcigarsusa.com/","https://fumarcigarsusa.com/","Retail lounge plus cigar rolling, custom cigar bars, events, and newsletter.","Experiential event partnership or cigar-rolling activation.","Event-focused; confirm tobacco compliance handling.",87,"ready"
"24th Street Cigar Lounge","lounge","P2","Phoenix, AZ","Phone/contact page","contact form/phone","https://www.24thstreetcigarlounge.co/contact","https://www.24thstreetcigarlounge.co/appointments","Phoenix lounge candidate with contact and appointments pages.","Intro for small Yuzu member meetup.","Less public event depth; verify before asking for event.",72,"verify"
"Scottsdale Cigars","retailer/lounge","P2","Scottsdale, AZ","scottsdalecigarco@yahoo.com","email/contact form","https://www.scottsdalecigars.com/contact","https://www.scottsdalecigars.com/contact","Scottsdale cigar shop with published email and contact form.","Local shop partnership or in-store member flyer request.","Use business email; partnership only.",76,"ready"
"Owl Ear Smoke Shop","lounge/retailer","P2","Scottsdale, AZ","info@owlearsmokeshop.com","email","https://cigarsscottsdale.com/Scottsdale_Cigar_Lounge.html","https://cigarsscottsdale.com/Scottsdale_Cigar_Lounge.html","Membership-free Scottsdale lounge with patio, TVs, and gathering space.","Local lounge meetup or opt-in promo discussion.","B2B only; no customer-list request.",78,"ready"
"Sticks Golf & Cigar Lounge","lounge/event venue","P1","Carefree, AZ","larryf@sticksgolf-cigarlounge.com / (480) 575-0993","email/phone","https://www.sticksgolf-cigarlounge.com/events/private-events/","https://www.carefreebourbon-cigarfestival.com/wp-content/uploads/2026/02/Cigar-Vendor-Sponsor-Agreement-Feb-2026.pdf","Golf/cigar lounge with private events and Carefree Bourbon & Cigar Festival hosting.","Event sponsorship, festival vendor, or member golf/cigar night.","Event/vendor outreach; ensure no free sample language.",90,"ready"
