publish_date,channel,target_channels,content_type,theme,draft_copy,asset,cta,compliance_notes,status
2026-06-01,Page,Instagram + Facebook Page + Facebook Group,text prompt,Humidor check,"Humidor check, Yuzu lounge. What RH are you running this week, and what has been resting longer than you expected? We are building this Page around adult 21+ cigar culture, storage, pairings, events, and good conversation. Drop a note below if you are a collector, a lounge regular, or just getting your humidor dialed in. 21+ only.",Environmental humidor or lounge photo plus 4:5 Instagram card,Comment with your RH,Adult 21+ only; no sales or availability language; cross-post IG + FB Page + FB Group,published:1148511071677542_122099408559350335
2026-06-01,Admin,Internal admin,setup,Group creation,"Created the private visible group using the approved name, description, membership questions, and rules from the implementation doc.",No public asset,Created group,Human admin action; 21+ membership questions required,created:https://www.facebook.com/groups/1702820237822858
2026-06-01,Admin,Internal admin,assets,Group media upload,"Uploaded the Yuzu launch assets album with the cover, launch square, and profile images, then verified the group media tab shows 3 photos.",Yuzu Facebook cover/profile/launch assets,Verify media album,Adult 21+ only; image assets contain no marketplace copy,uploaded:https://www.facebook.com/media/set/?set=oa.27647210981530422&type=3
2026-06-01,Page,Instagram + Facebook Page + Facebook Group,image post,Cigar Flow May 31,"Cigar Flow | May 31 industry highlights. New Releases: Oliva Serie V Maduro, Perdomo 20th Anniversary, and Foundation Wise Man Maduro are source-backed watch notes. Upcoming Events: PCA 2026 coverage adds show-floor release signals and industry context. Flow Note: news-and-culture scan for adult cigar readers, not a marketplace post. 21+ only.",Oliva/Perdomo/Foundation/PCA researched images plus IG carousel cards,Read the Cigar Flow format,Adult 21+ only; editorial news and culture; no sales or availability language; cross-post IG + FB Page + FB Group,published:1148511071677542_122099433969350335
2026-06-01,Group,Instagram + Facebook Page + Facebook Group,image album,Cigar Flow May 31,"Cigar Flow | May 31 industry highlights. Four-image album for adult 21+ cigar readers: Oliva Serie V Maduro, Perdomo 20th Anniversary, Foundation Wise Man Maduro, and PCA 2026 coverage. News-and-culture scan only; no marketplace post.",Oliva/Perdomo/Foundation/PCA researched images plus IG carousel cards,Discuss the flow,Adult 21+ only; editorial album; no marketplace or claims language; cross-post IG + FB Page + FB Group,published:https://www.facebook.com/media/set/?set=oa.2797279673982804&type=3
2026-06-04,Group,Instagram + Facebook Page + Facebook Group,thread,Welcome thread,"Welcome to the lounge. What brought you here: humidor care, pairings, events, collecting, lounge culture, or something else? Quick reminder: 21+ only and no marketplace posts.",Yuzu launch square visual plus lounge welcome prompt card,Introduce yourself,Adult 21+ only; no marketplace language; cross-post IG + FB Page + FB Group,ready
2026-06-05,Page,Instagram + Facebook Page + Facebook Group,text prompt,Pairing Friday,"Pairing Friday: when you want a slower evening, are you reaching for coffee, sparkling water, rum, bourbon, or something else alongside the cigar conversation? 21+ only.",Lifestyle drink table photo plus IG story prompt card,Comment with a pairing,Adult 21+ only; avoid alcohol overconsumption framing; cross-post IG + FB Page + FB Group,ready
2026-06-06,Outreach,Partner outreach only,partner,Valley Cigar Club,"Send the approved club partnership pitch to Valley Cigar Club through its public channels. Personalize the first sentence with a specific note about local Phoenix cigar community.",No public asset,Ask for conversation,Adult 21+ only; use public/business channel only; do not request member list,ready
2026-06-07,Page,Instagram + Facebook Page + Facebook Group,founder note,Why Yuzu exists,"Yuzu Cigar Club is being built for people who like the slower side of cigar culture: careful storage, thoughtful pairings, good events, and a humidor that tells a story. 21+ only.",Founder or lounge photo plus branded quote card,Follow along,Adult 21+ only; no sales language; cross-post IG + FB Page + FB Group,ready
2026-06-08,Group,Instagram + Facebook Page + Facebook Group,thread,Weekly humidor check,"Weekly humidor check: where is your setup sitting today, and what taught you the most about keeping it steady? 21+ only.",Humidor detail photo plus 4:5 question card,Share your setup,Adult 21+ only; no product claims; cross-post IG + FB Page + FB Group,ready
2026-06-09,Page,Instagram + Facebook Page + Facebook Group,education,Humidor basics,"Small humidor note: consistency usually matters more than chasing a perfect number. What is one storage habit you had to learn the patient way? 21+ only.",Humidor closeup or neutral storage photo plus mini education card,Comment with one habit,Adult 21+ only; educational only; cross-post IG + FB Page + FB Group,ready
